Species Name,Unique ID,Population Count,Presence in Area
Oak Tree,2001,1200,True
Sunflower,2002,800,True
Bamboo,2003,600,True
Daffodil,2004,450,True
Maple Tree,2005,300,True
Rose,2006,150,False
Tulip,2007,200,False
Palm Tree,2008,400,True
Fern,2009,100,False
Cactus,2010,120,True
Lily,2011,250,False
Daisy,2012,180,True
Hibiscus,2013,300,True
Birch Tree,2014,500,True
Wild Grass,2015,700,True
Violet,2016,90,False
Cherry Blossom,2017,350,True
Aloe Vera,2018,80,False
Fir Tree,2019,420,True
Succulent,2020,150,False
Dandelion,2021,280,False
Orchid,2022,200,True
Cypress Tree,2023,320,True
Lavender,2024,180,False
Eucalyptus,2025,270,True
Pine Tree,2026,600,True
Marigold,2027,130,False
Moss,2028,80,False
Azalea,2029,250,True
Beech Tree,2030,400,True
